LOCATION,Year,Imports
FRA,2017,32.0132141063066
FRA,2018,32.7242853866575
FRA,2019,32.549417775836
FRA,2020,29.4135952484106
FRA,2021,31.3909159612455
FRA,2022,38.1307391305829
DEU,2010,37.3031508345032
DEU,2011,40.148984986412
DEU,2012,40.2069347359679
DEU,2013,39.6601988368577
DEU,2014,39.0008300796262
DEU,2015,39.3254862566007
DEU,2016,38.6963831131131
DEU,2017,40.0741622693716
DEU,2018,41.2110119003402
DEU,2019,41.0167968997426
DEU,2020,37.3851760276969
DEU,2021,41.7122232248213
DEU,2022,48.2812996987368
GRC,2010,29.3991835466483
GRC,2011,31.3441894187165
GRC,2012,33.3187045000381
GRC,2013,32.6692940498542
GRC,2014,34.0407281266877
GRC,2015,33.1505286334271
GRC,2016,32.7317398242041
GRC,2017,36.5448541834351
GRC,2018,41.1571183136614
GRC,2019,41.7742915848291
GRC,2020,39.6823958616843
GRC,2021,48.5868992730866
GRC,2022,58.1806491173929
HUN,2010,76.3576095594801
HUN,2011,80.3554863056895
HUN,2012,79.7692669882925
HUN,2013,78.9352878466961
HUN,2014,81.2711297802477
HUN,2015,79.7939941049408
HUN,2016,77.9991894310291
HUN,2017,79.3089515487009
HUN,2018,79.5051964069182
HUN,2019,79.2216026672883
HUN,2020,76.7777816531528
HUN,2021,79.9464393622818
HUN,2022,94.4707025323708
ISL,2010,41.9001643585745
ISL,2011,46.8631655185672
ISL,2012,49.1594207494052
ISL,2013,45.5417721088582
ISL,2014,45.1464939440964
ISL,2015,44.1664864636398
ISL,2016,40.8489873389972
ISL,2017,41.2467069499043
ISL,2018,42.590144590526
ISL,2019,39.1775940671913
ISL,2020,34.7890694377332
ISL,2021,39.4150057826111
ISL,2022,47.0441107826692
IRL,2010,86.6825543983235
IRL,2011,84.5864708118457
IRL,2012,87.0299478509115
IRL,2013,85.2336276677793
IRL,2014,92.1227695714258
IRL,2015,93.3337456858251
IRL,2016,106.042332818548
IRL,2017,98.9870966849518
IRL,2018,94.2914169055969
IRL,2019,124.369851881362
IRL,2020,114.428560857608
IRL,2021,95.0312437424107
IRL,2022,99.6221523388651
ITA,2010,26.932138522965
ITA,2011,28.2730589939396
ITA,2012,27.2754780086443
ITA,2013,26.2343363170751
ITA,2014,26.2132869642331
ITA,2015,26.7021937892476
ITA,2016,26.0397120675783
ITA,2017,27.8704426276557
ITA,2018,28.9499970418731
ITA,2019,28.2765604958343
ITA,2020,25.8368487939247
ITA,2021,30.4152923959238
ITA,2022,38.6903651963886
JPN,2010,13.5799692441961
JPN,2011,15.4204984672798
JPN,2012,16.0561363041928
JPN,2013,18.1946119190738
JPN,2014,20.0127792201784
JPN,2015,17.990648516827
JPN,2016,15.2522776095286
JPN,2017,16.831774467385
JPN,2018,18.2949862035848
JPN,2019,17.7528916808924
JPN,2020,15.8185464782378
JPN,2021,18.7389477543111
KOR,2010,44.2958595844342
KOR,2011,52.2285816810148
KOR,2012,51.3642764025061
KOR,2013,46.6600338441855
KOR,2014,42.7830210318588
KOR,2015,36.142932861381
KOR,2016,33.4711585544775
KOR,2017,36.1867108656532
KOR,2018,37.2755746703469
KOR,2019,36.4812778978581
KOR,2020,32.6744545418102
KOR,2021,38.4568447108548
LUX,2010,130.962019766895
LUX,2011,139.225330437832
LUX,2012,140.575047137918
LUX,2013,144.15017538934
LUX,2014,150.646260777047
LUX,2015,159.296525319647
LUX,2016,157.338775636266
LUX,2017,161.046488439573
LUX,2018,164.922567034797
LUX,2019,173.522183780737
LUX,2020,165.596791540086
LUX,2021,176.68700121397
LUX,2022,175.111415423983
MEX,2010,31.0626537159835
MEX,2011,32.4329707398903
MEX,2012,33.5016780596676
MEX,2013,32.4592236648864
MEX,2014,33.0519165924803
MEX,2015,36.5642042713542
MEX,2016,39.020038053624
MEX,2017,39.4641760467353
MEX,2018,41.3018324998763
MEX,2019,39.0760617881856
MEX,2020,37.445845004961
MEX,2021,42.8400346490762
NLD,2010,61.718401657105
NLD,2011,66.9687049767897
NLD,2012,69.765041365094
NLD,2013,69.6688535163968
NLD,2014,69.4758472809578
NLD,2015,75.1576793312541
NLD,2016,69.3234999724707
NLD,2017,72.6364431968743
NLD,2018,74.1397465332105
NLD,2019,72.7329639446286
NLD,2020,68.1963014575722
NLD,2021,72.7954223993828
NLD,2022,83.212882469565
NZL,2010,27.9779878234698
NZL,2011,28.845440675977
NZL,2012,28.1637232227837
NZL,2013,27.2036839753943
NZL,2014,27.1817694811884
NZL,2015,26.9624813973526
NZL,2016,25.8597491069816
NZL,2017,26.6255946668318
NZL,2018,27.9243446940382
NZL,2019,27.0817091732561
NZL,2020,22.2522783824629
NZL,2021,26.2878722281034
NOR,2010,28.0891902856851
NOR,2011,27.9374674591422
NOR,2012,27.2114879845743
NOR,2013,28.11148305928
NOR,2014,29.4097051783555
NOR,2015,31.8566678050453
NOR,2016,33.1786709712824
NOR,2017,32.3765167676115
NOR,2018,31.7821685011468
NOR,2019,34.2548952066717
NOR,2020,33.1436412615645
NOR,2021,28.8083445325077
NOR,2022,27.3252958742707
POL,2010,42.4618368507942
POL,2011,44.7100070093413
POL,2012,44.989362816922
POL,2013,44.7984388936806
POL,2014,46.0798611274457
POL,2015,45.3684824498143
POL,2016,47.2716186282683
POL,2017,49.2255372973693
POL,2018,50.702466863484
POL,2019,49.4933781721763
POL,2020,47.3332871335243
POL,2021,54.3824692110598
