LOCATION,SUBJECT,Year,Housing
CAN,NOMINAL,2013-Q2,89.3801347102878
CAN,NOMINAL,2013-Q3,90.2153573499121
CAN,NOMINAL,2013-Q4,91.5897982173747
CAN,NOMINAL,2014-Q1,93.5072280695139
CAN,NOMINAL,2014-Q2,93.8635645907079
CAN,NOMINAL,2014-Q3,95.2021832682094
CAN,NOMINAL,2014-Q4,96.7406520581264
CAN,NOMINAL,2015-Q1,98.0717292219514
CAN,NOMINAL,2015-Q2,98.4808563388777
CAN,NOMINAL,2015-Q3,100.564199491891
CAN,NOMINAL,2015-Q4,102.88321494728
CAN,NOMINAL,2016-Q1,105.12492988749
CAN,NOMINAL,2016-Q2,108.601567692156
CAN,NOMINAL,2016-Q3,112.832356864427
CAN,NOMINAL,2016-Q4,115.801827874377
CAN,NOMINAL,2017-Q1,119.178540622835
CAN,NOMINAL,2017-Q2,123.999453240258
CAN,NOMINAL,2017-Q3,125.643503221641
CAN,NOMINAL,2017-Q4,126.192148341574
CAN,NOMINAL,2018-Q1,127.476091044924
CAN,NOMINAL,2018-Q2,127.730617131491
CAN,NOMINAL,2018-Q3,128.67142096258
CAN,NOMINAL,2018-Q4,129.646161605211
CAN,NOMINAL,2019-Q1,129.480248304338
CAN,NOMINAL,2019-Q2,128.120890464227
CAN,NOMINAL,2019-Q3,129.793221121894
CAN,NOMINAL,2019-Q4,132.442177800612
CAN,NOMINAL,2020-Q1,134.627331388251
CAN,NOMINAL,2020-Q2,135.317379889611
CAN,NOMINAL,2020-Q3,138.737456341706
CAN,NOMINAL,2020-Q4,145.11003539798
CAN,NOMINAL,2021-Q1,149.3257415429
CAN,NOMINAL,2021-Q2,156.829547650583
CAN,NOMINAL,2021-Q3,162.823165644634
CAN,NOMINAL,2021-Q4,167.874094429178
CAN,NOMINAL,2022-Q1,176.906942434683
CAN,NOMINAL,2022-Q2,183.026880782809
CAN,NOMINAL,2022-Q3,177.250081306944
CAN,NOMINAL,2022-Q4,171.731578674485
CAN,NOMINAL,2023-Q1,168.439707954883
CZE,NOMINAL,2010-Q2,95.2158996354583
CZE,NOMINAL,2010-Q3,95.0236509071606
CZE,NOMINAL,2010-Q4,95.2493290070277
CZE,NOMINAL,2011-Q1,95.5746639981936
CZE,NOMINAL,2011-Q2,95.7002666746511
CZE,NOMINAL,2011-Q3,95.2427106588722
CZE,NOMINAL,2011-Q4,94.4823586682831
CZE,NOMINAL,2012-Q1,94.0394065146444
CZE,NOMINAL,2012-Q2,93.8032856515404
CZE,NOMINAL,2012-Q3,93.7522779175356
CZE,NOMINAL,2012-Q4,93.8050299162796
CZE,NOMINAL,2013-Q1,93.7177760602818
CZE,NOMINAL,2013-Q2,93.9266655840375
CZE,NOMINAL,2013-Q3,93.9508500437841
CZE,NOMINAL,2013-Q4,93.9047083118966
CZE,NOMINAL,2014-Q1,95.0982515644463
CZE,NOMINAL,2014-Q2,95.6614978869292
CZE,NOMINAL,2014-Q3,96.5290550729052
CZE,NOMINAL,2014-Q4,97.4111954757192
CZE,NOMINAL,2015-Q1,98.3769600546138
CZE,NOMINAL,2015-Q2,99.2926413149031
CZE,NOMINAL,2015-Q3,100.506463709952
CZE,NOMINAL,2015-Q4,101.823934920531
CZE,NOMINAL,2016-Q1,103.069321305024
CZE,NOMINAL,2016-Q2,104.998344390519
CZE,NOMINAL,2016-Q3,107.584286338623
CZE,NOMINAL,2016-Q4,112.948047965834
CZE,NOMINAL,2017-Q1,116.276285079624
CZE,NOMINAL,2017-Q2,118.986365324818
CZE,NOMINAL,2017-Q3,121.048867394493
CZE,NOMINAL,2017-Q4,122.488482201065
CZE,NOMINAL,2018-Q1,125.06913788821
CZE,NOMINAL,2018-Q2,128.573008509562
CZE,NOMINAL,2018-Q3,131.713068007351
CZE,NOMINAL,2018-Q4,134.644785594878
CZE,NOMINAL,2019-Q1,137.26365957845
CZE,NOMINAL,2019-Q2,140.439452131782
CZE,NOMINAL,2019-Q3,143.138198358351
CZE,NOMINAL,2019-Q4,146.758689931418
CZE,NOMINAL,2020-Q1,149.046918139838
CZE,NOMINAL,2020-Q2,151.309797873332
CZE,NOMINAL,2020-Q3,155.074497214679
CZE,NOMINAL,2020-Q4,159.968786772151
CZE,NOMINAL,2021-Q1,168.919962251533
CZE,NOMINAL,2021-Q2,177.346766850099
CZE,NOMINAL,2021-Q3,189.317680762047
CZE,NOMINAL,2021-Q4,201.315590136321
CZE,NOMINAL,2022-Q1,209.987055559101
CZE,NOMINAL,2022-Q2,216.92553399693
CZE,NOMINAL,2022-Q3,218.826869288341
CZE,NOMINAL,2022-Q4,215.360541171342
DNK,NOMINAL,2010-Q2,90.1079841237691
DNK,NOMINAL,2010-Q3,90.884117728785
DNK,NOMINAL,2010-Q4,91.627408209968
DNK,NOMINAL,2011-Q1,90.8132138129095
DNK,NOMINAL,2011-Q2,90.8634442651029
DNK,NOMINAL,2011-Q3,88.2041384810839
DNK,NOMINAL,2011-Q4,86.6080946631312
DNK,NOMINAL,2012-Q1,86.4490925623553
DNK,NOMINAL,2012-Q2,85.8412007412786
DNK,NOMINAL,2012-Q3,86.7158881425343
DNK,NOMINAL,2012-Q4,87.9816860234998
DNK,NOMINAL,2013-Q1,88.6182262066677
DNK,NOMINAL,2013-Q2,89.8962891807906
