LOCATION,Year,Exports
USA,2010,12.3413562522884
USA,2011,13.5634646520507
USA,2012,13.6440512687054
USA,2013,13.5780703377198
USA,2014,13.54595407006
USA,2015,12.4609916179937
USA,2016,11.9395418244753
USA,2017,12.2617378340787
USA,2018,12.3609888015706
USA,2019,11.8724701809684
USA,2020,10.2021255551988
USA,2021,10.8927264717631
CHL,2010,37.9039943185256
CHL,2011,37.6897802744894
CHL,2012,33.8455905048124
CHL,2013,32.0874635895822
CHL,2014,33.0039029663875
CHL,2015,29.1910794900802
CHL,2016,27.9231581100522
CHL,2017,28.3313768341789
CHL,2018,28.5290447397051
CHL,2019,27.8432682038872
CHL,2020,31.3037695905264
CHL,2021,31.9796676873672
CHL,2022,35.6707253634246
CHN,2010,26.3254794206435
CHN,2011,26.5681882841381
CHN,2012,25.4925200211668
CHN,2013,24.5992556620714
CHN,2014,24.0953913268178
CHN,2015,21.9794146313421
CHN,2016,19.584378997129
CHN,2017,19.6922757669139
CHN,2018,19.1121041431179
CHN,2019,18.4963901215105
CHN,2020,18.5410633929479
CHN,2021,19.9406919547491
EST,2010,75.0493209374989
EST,2011,86.603794172203
EST,2012,86.2077917875207
EST,2013,84.5681678862565
EST,2014,81.8654313853006
EST,2015,77.4354995676316
EST,2016,77.0075370645504
EST,2017,75.8098519878714
EST,2018,74.3238982231788
EST,2019,73.8846872124758
EST,2020,69.2738635460627
EST,2021,78.2966513953675
EST,2022,85.5018224248478
IND,2010,22.5904470727754
IND,2011,24.5404113195629
IND,2012,24.5344306614106
IND,2013,25.4308613003433
IND,2014,22.9679630082684
IND,2015,19.813189156347
IND,2016,19.1582349103624
IND,2017,18.791764839303
IND,2018,19.94124067639
IND,2019,18.4293865080199
IDN,2010,24.2990309366379
IDN,2011,26.3273530888849
IDN,2012,24.5943787881769
IDN,2013,23.9235763793594
IDN,2014,23.6659845969405
IDN,2015,21.1601792598076
IDN,2016,19.0889938536632
IDN,2017,20.1773044351113
IDN,2018,21.0027464972468
IDN,2019,18.5915277970902
IDN,2020,17.3311682848904
IDN,2021,21.4081231102766
IDN,2022,24.4924493725883
ISR,2010,34.1585644434731
ISR,2011,34.7593360242968
ISR,2012,35.313524548815
ISR,2013,33.2367802459528
ISR,2014,31.8734753545489
ISR,2015,31.1712510290878
ISR,2016,29.9549397653099
ISR,2017,29.2422375683143
ISR,2018,29.8939102134863
ISR,2019,29.2984781566147
ISR,2020,27.675677589444
ISR,2021,29.4589851073402
ISR,2022,31.9108268312368
RUS,2010,27.0786577123279
RUS,2011,28.0553481311462
RUS,2012,26.9072600692462
RUS,2013,25.845295606813
RUS,2014,27.1111270763483
RUS,2015,28.7033982922271
RUS,2016,25.8544237455533
RUS,2017,26.0908497848607
RUS,2018,30.7932451114288
RUS,2019,28.5364175819116
RUS,2020,25.5231426016275
SVN,2010,64.274822462539
SVN,2011,70.2471446678583
SVN,2012,72.8915890765118
SVN,2013,74.2164745894209
SVN,2014,76.1517426857157
SVN,2015,77.1486775525979
SVN,2016,77.5981672180721
SVN,2017,83.1255063838058
SVN,2018,84.7926770850013
SVN,2019,83.6994389310503
SVN,2020,77.740599050395
SVN,2021,83.629921468442
SVN,2022,90.38029359358
ZAF,2010,25.7834333330773
ZAF,2011,27.6981422687532
ZAF,2012,27.1391614242606
ZAF,2013,28.3792749591771
ZAF,2014,29.0006226752242
ZAF,2015,27.7136296911016
ZAF,2016,28.1560846155975
ZAF,2017,27.3400744208846
ZAF,2018,27.5626402113109
ZAF,2019,27.2974712853797
ZAF,2020,27.6003027900093
ZAF,2021,31.1938142962933
ZAF,2022,33.4438714086264
EA,2010,39.1613999724705
EA,2011,42.0195732879451
EA,2012,43.6928770098349
EA,2013,43.8727077674434
EA,2014,44.5025205886589
EA,2015,46.0071272707295
EA,2016,45.5218218775621
EA,2017,47.205539057893
EA,2018,48.0549804299576
EA,2019,48.1557720728974
EA,2020,45.2778905674266
EA,2021,49.2993260642604
EA,2022,54.7351088951487
EU,2010,40.3283398565499
EU,2011,43.1956913349212
EU,2012,44.7803732178954
EU,2013,44.9675080475163
EU,2014,45.6671007000111
EU,2015,47.0520855286161
EU,2016,46.6442220661211
EU,2017,48.2943263310923
EU,2018,49.1241040325562
EU,2019,49.2816914438823
EU,2020,46.3874867051563
EU,2021,50.3960909744106
EU,2022,55.9385924144063
BRA,2010,10.8655847746965
BRA,2011,11.5825126782808
BRA,2012,11.8775390673678
BRA,2013,11.7422306432624
BRA,2014,11.0119428207843
BRA,2015,12.9001914177405
BRA,2016,12.4666790443888
BRA,2017,12.5189678685484
BRA,2018,14.6349994952986
BRA,2019,14.1229191903622
BRA,2020,16.4535520080761
LVA,2010,53.2583793215163
LVA,2011,59.7798909523655
LVA,2012,61.4437531058355
LVA,2013,60.3951732405058
LVA,2014,61.1547282077451
LVA,2015,60.2753827650078
LVA,2016,59.6070823895513
LVA,2017,61.589439363058
LVA,2018,61.4589417496788
LVA,2019,59.8140791420221
LVA,2020,59.8993432537649
LVA,2021,63.6751699192133
LVA,2022,70.3412087997428
COL,2010,16.3408447597691
COL,2011,19.2765050733171
COL,2012,18.8112052836654
COL,2013,18.0864397214368
COL,2014,16.6347491096509
COL,2015,15.6502115094968
COL,2016,14.7171392781975
COL,2017,15.1452897484005
COL,2018,15.8997196775431
COL,2019,15.8680386541241
COL,2020,13.5321556073614
COL,2021,16.328298336556
CRI,2010,32.8294113465979
CRI,2011,32.4724708769388
CRI,2012,31.6513173358051
CRI,2013,30.5916493613049
CRI,2014,31.3629152834907
CRI,2015,29.9956578647473
CRI,2016,31.2600963003502
CRI,2017,32.7626831479378
CRI,2018,33.7385107761832
CRI,2019,34.3253215592835
CRI,2020,31.9064976577622
CRI,2021,36.7687724576784
CRI,2022,41.1615469285643
LTU,2010,63.9423571431486
LTU,2011,72.8810090458509
LTU,2012,78.226630309251
LTU,2013,78.668573052352
LTU,2014,72.2704260409198
LTU,2015,68.7776402329522
LTU,2016,67.5873824219434
LTU,2017,73.5951633056889
LTU,2018,75.2054049728386
LTU,2019,77.3117029038903
LTU,2020,73.1624443930539
LTU,2021,80.528869995265
LTU,2022,87.5611297285293
OAVG,2010,26.1831388004713
OAVG,2011,28.1287292307129
OAVG,2012,28.5321620238688
OAVG,2013,28.5169405650153
OAVG,2014,28.6576315952392
OAVG,2015,28.4700000276836
OAVG,2016,28.2720929212239
OAVG,2017,29.3632166385354
OAVG,2018,30.1045863175973
OAVG,2019,29.8696767964799
OAVG,2020,27.5891139281301
OAVG,2021,29.8966826711213
