LOCATION,INDICATOR,TIME,Savings
SWE,HHSAV,2017,12.1372639049616
SWE,HHSAV,2018,13.624775978472
SWE,HHSAV,2019,15.5349154722706
SWE,HHSAV,2020,16.9504578986582
SWE,HHSAV,2021,15.9434989072103
SWE,HHSAV,2022,13.3726517064837
EST,HHSAV,2010,3.45646009518694
EST,HHSAV,2011,4.40634659913995
EST,HHSAV,2012,0.701605071633551
EST,HHSAV,2013,2.59036747772104
EST,HHSAV,2014,4.23887919241474
EST,HHSAV,2015,5.85712763690603
EST,HHSAV,2016,6.24308929468923
EST,HHSAV,2017,7.57173302035396
EST,HHSAV,2018,8.44100945483239
EST,HHSAV,2019,7.75737023029693
EST,HHSAV,2020,10.5470387840671
EST,HHSAV,2021,6.47829551702197
SVN,HHSAV,2010,5.05567960828781
SVN,HHSAV,2011,3.64822135296296
SVN,HHSAV,2012,0.80249945738471
SVN,HHSAV,2013,3.04826012831186
SVN,HHSAV,2014,3.1384956154024
SVN,HHSAV,2015,3.60150085121122
SVN,HHSAV,2016,3.80622700199885
SVN,HHSAV,2017,5.36960584505235
SVN,HHSAV,2018,6.271849283261
SVN,HHSAV,2019,6.12512401388218
SVN,HHSAV,2020,16.3344857650708
SVN,HHSAV,2021,12.1144377884555
LVA,HHSAV,2010,-1.87278126976861
LVA,HHSAV,2011,-9.69456304599199
LVA,HHSAV,2012,-10.4675005134658
LVA,HHSAV,2013,-14.5282106129644
LVA,HHSAV,2014,-8.786636339441
LVA,HHSAV,2015,-4.69145751003558
LVA,HHSAV,2016,-3.02840749246505
LVA,HHSAV,2017,-3.47451867968493
LVA,HHSAV,2018,-1.9264661716123
LVA,HHSAV,2019,0.339947827695503
LVA,HHSAV,2020,6.28227098745172
LVA,HHSAV,2021,5.87032215383826
LTU,HHSAV,2010,4.33422439732162
LTU,HHSAV,2011,0.555531438352826
LTU,HHSAV,2012,-1.09547072039943
LTU,HHSAV,2013,-1.67399538785667
LTU,HHSAV,2014,-3.82032685611272
LTU,HHSAV,2015,-3.69244782392001
LTU,HHSAV,2016,-1.0975716027784
LTU,HHSAV,2017,-3.87218258912574
LTU,HHSAV,2018,-3.73552523059832
LTU,HHSAV,2019,0.120281911144583
LTU,HHSAV,2020,9.13086511824866
LTU,HHSAV,2021,2.1893471279159
